"scope","device_id","mpn","quantity","lifecycle","qualification","orderable_evidence","cost_evidence","cost_currency","cost_target_quantity","unit_price_usd","line_material_usd","cost_price_break","cost_source","cost_checked","cost_gate_status","cost_gate_reason","cost_gate_source","cost_gate_checked","alternate_evidence","alternate_policy_class","placements"
"base_product","abracon_abm8_26mhz_10_d_1_g_t","Abracon ABM8-26.000MHZ-10-D-1-G-T","1","active_orderable","verified_exact_cc_reference_crystal","present","missing","","","","","","","","","","","","present","SUB-RF","cc_crystal"
"base_product","adi_ad8314acpz_rl7","Analog Devices AD8314ACPZ-RL7","5","production_active_orderable","verified_exact_wideband_rf_power_detector","present","present","USD","100","2.857","14.285","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc/AD8314ACPZ-RL7/671084","2026-08-19","","","","","present","SUB-COMPUTE-RF","det_cc;det_nrf0;det_nrf1;det_nrf2;det_voice"
"base_product","adi_ltc5532_es6_trmpbf","LTC5532ES6#TRMPBF","2","production","verified_candidate","present","present","USD","100","3.8877","7.7754","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc/LTC5532ES6-TRMPBF/1115993","2026-08-19","","","","","present","SUB-COMPUTE-RF","det_c5;det_s3"
"base_product","adi_max17320_g20_t","Analog Devices MAX17320G20+T","1","recommended_for_new_designs","verified_candidate","present","present","USD","100","4.0019","4.0019","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX17320G20-T/16675120","2026-08-19","","","","","present","SUB-PWR-SAFETY","pack_gauge"
"base_product","alps_ec11e18244au","Alps Alpine EC11E18244AU","1","active_standard","verified_first_target_mechanical_fit_hil_open","present","present","USD","100","3.288","3.288","DigiKey tray quantity-100 tier","https://www.digikey.com/en/products/detail/alps-alpine/EC11E18244AU/19529126","2026-08-19","","","","","present","SUB-MECH-OPTICAL","encoder"
"base_product","alps_skqgade010","Alps Alpine SKQGADE010","6","standard_active_orderable","verified_exact_service_boot_reset_switch","present","present","USD","100","0.2248","1.3488","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/alps-alpine/SKQGADE010/18109115","2026-08-19","","","","","present","SUB-MECH-OPTICAL","c5_boot_button;c5_reset_button;rp_boot_button;rp_reset_button;s3_boot_button;s3_reset_button"
"base_product","bourns_crm2512_fx_20r0elf","Bourns CRM2512-FX-20R0ELF","2","active","verified_candidate","present","present","USD","100","0.184","0.368","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/bourns-inc/CRM2512-FX-20R0ELF/4698376","2026-08-19","","","","","present","SUB-CTRL-PASSIVE","pack_diag_res0;pack_diag_res1"
"base_product","cc1101rgpr","CC1101RGPR","1","active","verified_candidate","present","present","USD","100","3.0358","3.0358","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/texas-instruments/CC1101RGPR/3947323","2026-08-19","","","","","present","SUB-COMPUTE-RF","cc"
"base_product","ck_y78b23214fp","C&K Y78B23214FP","11","active_orderable","verified_first_target_mechanical_cap_and_enclosure_hil_open","present","missing","","","","","","","","quantity_100_rfq_required","The exact authorized-distributor line is live, but the accessible table is regional AUD and skips directly from 25 to 250 pieces; the USD quantity-100 cost baseline requires a same-region quote rather than an FX conversion","https://au.mouser.com/en/ProductDetail/CK/Y78B23214FP","2026-08-19","present","SUB-MECH-OPTICAL","ptt_switch;rearm_switch;ui_switch_back;ui_switch_down;ui_switch_f1;ui_switch_f2;ui_switch_left;ui_switch_ok;ui_switch_opt;ui_switch_right;ui_switch_up"
"base_product","diodes_2n7002dw_7_f","Diodes Incorporated 2N7002DW-7-F","4","active","verified_candidate","present","present","USD","100","0.1277","0.5108","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/2N7002DW-7-F/749948","2026-08-19","","","","","present","SUB-DISCRETE-PROT","pack_hold;pack_status_buffer;safe_reset_sink_a;safe_reset_sink_b"
"base_product","diodes_bat54_7_f","Diodes Incorporated BAT54-7-F","4","active","verified_candidate","present","present","USD","100","0.0698","0.2792","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/BAT54-7-F/717699","2026-08-19","","","","","present","SUB-DISCRETE-PROT","cc_evidence_hold_diode;nrf_evidence_hold_diode;pack_system_diode;voice_evidence_hold_diode"
"base_product","diodes_dmn2056u_7","Diodes Incorporated DMN2056U-7","3","active","verified_candidate","present","present","USD","100","0.149","0.447","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/DMN2056U-7/7352909","2026-08-19","","","","","present","SUB-DISCRETE-PROT","backlight_mosfet;ir_tx_mosfet;pack_diag_switch"
"base_product","diodes_mmbt3904_7_f","Diodes Incorporated MMBT3904-7-F","2","active","verified_candidate","present","present","USD","100","0.0597","0.1194","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/MMBT3904-7-F/815727","2026-08-19","","","","","present","SUB-DISCRETE-PROT","ext_pg_qualifier;voice_pg_qualifier"
"base_product","diodes_pam8302a_ascr","Diodes Incorporated PAM8302AASCR","1","active","verified_reference","present","present","USD","100","0.3605","0.3605","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/PAM8302AASCR/4033281","2026-08-19","","","","","present","SUB-LOGIC-ANALOG","speaker_amp"
"base_product","ebyte_e01_ml01ipx","Ebyte E01-ML01IPX","3","nrf24_family_not_recommended_for_new_designs","verified_reference","present","missing","","","","","","","","quantity_100_rfq_required","The manufacturer exposes a 100-999-piece tier but withholds its numeric price behind Send Inquiry, so no comparable published quantity-100 USD value is available","https://www.cdebyte.com/products/E01-ML01IPX","2026-08-19","present","SUB-COMPUTE-RF","nrf0;nrf1;nrf2"
"base_product","epson_q13fc13500005","Seiko Epson Q13FC13500005","1","active_orderable","verified_candidate","present","missing","","","","","","","","","","","","present","SUB-RF","receiver_clock"
