"scope","device_id","mpn","quantity","lifecycle","qualification","orderable_evidence","cost_evidence","cost_currency","cost_target_quantity","unit_price_usd","line_material_usd","cost_price_break","cost_source","cost_checked","cost_gate_status","cost_gate_reason","cost_gate_source","cost_gate_checked","alternate_evidence","alternate_policy_class","placements"
"base_product","abracon_abm8_26mhz_10_d_1_g_t","Abracon ABM8-26.000MHZ-10-D-1-G-T","1","active_orderable","verified_exact_cc_reference_crystal","present","present","USD","100","0.3257","0.3257","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/abracon-llc/ABM8-26-000MHZ-10-D-1-G-T/9997912","2026-08-19","","","","","present","SUB-RF","cc_crystal"
"base_product","abracon_abm8_272_t3","Abracon ABM8-272-T3","1","active_orderable","verified_exact_rp2350_reference_crystal","present","present","USD","100","0.4085","0.4085","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/abracon-llc/ABM8-272-T3/22472366","2026-08-23","","","","","present","SUB-RF","rp_clock"
"base_product","abracon_aota_b201610s3r3_101_t","Abracon AOTA-B201610S3R3-101-T","1","active_orderable","verified_exact_rp2350_reference_regulator_inductor","present","present","USD","100","0.1512","0.1512","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/abracon-llc/AOTA-B201610S3R3-101-T/25621527","2026-08-23","","","","","present","SUB-PWR-PASSIVE","rp_vreg_inductor"
"base_product","adi_ad8314acpz_rl7","Analog Devices AD8314ACPZ-RL7","6","production_active_orderable","verified_exact_wideband_rf_power_detector","present","present","USD","100","2.857","17.142","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc/AD8314ACPZ-RL7/671084","2026-08-19","","","","","present","SUB-COMPUTE-RF","det_cc;det_nrf0;det_nrf1;det_nrf2;det_voice;det_voice_v"
"base_product","adi_ltc5532_es6_trmpbf","LTC5532ES6#TRMPBF","2","production","verified_candidate","present","present","USD","100","3.8877","7.7754","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc/LTC5532ES6-TRMPBF/1115993","2026-08-19","","","","","present","SUB-COMPUTE-RF","det_c5;det_s3"
"base_product","adi_max17320_g20_t","Analog Devices MAX17320G20+T","1","recommended_for_new_designs","verified_candidate","present","present","USD","100","4.0019","4.0019","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX17320G20-T/16675120","2026-08-19","","","","","present","SUB-PWR-SAFETY","pack_gauge"
"base_product","alps_ec11e18244au","Alps Alpine EC11E18244AU","1","active_standard","verified_first_target_mechanical_fit_hil_open","present","present","USD","100","3.288","3.288","DigiKey tray quantity-100 tier","https://www.digikey.com/en/products/detail/alps-alpine/EC11E18244AU/19529126","2026-08-19","","","","","present","SUB-MECH-OPTICAL","encoder"
"base_product","alps_skrtlae010","Alps Alpine SKRTLAE010","6","standard_active_orderable","verified_exact_external_service_boot_reset_switch","present","present","USD","100","0.2433","1.4598","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/alps-alpine/SKRTLAE010/19529044","2026-08-23","","","","","present","SUB-MECH-OPTICAL","c5_boot_button;c5_reset_button;rp_boot_button;rp_reset_button;s3_boot_button;s3_reset_button"
"base_product","bourns_crm2512_fx_20r0elf","Bourns CRM2512-FX-20R0ELF","2","active","verified_candidate","present","present","USD","100","0.184","0.368","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/bourns-inc/CRM2512-FX-20R0ELF/4698376","2026-08-19","","","","","present","SUB-CTRL-PASSIVE","pack_diag_res0;pack_diag_res1"
"base_product","cc1101rgpr","CC1101RGPR","1","active","verified_candidate","present","present","USD","100","3.0358","3.0358","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/texas-instruments/CC1101RGPR/3947323","2026-08-19","","","","","present","SUB-COMPUTE-RF","cc"
"base_product","ck_js102011scqn","C&K JS102011SCQN","1","active_orderable","verified_exact_low_current_power_command_switch_mechanical_hil_open","present","present","USD","100","0.7823","0.7823","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/c-k/JS102011SCQN/7355835","2026-08-19","","","","","present","SUB-MECH-OPTICAL","power_command_switch"
"base_product","davies_1227_j","Davies Molding 1227-J","1","active","verified_exact_shaft_and_plan_fit_hil_open","present","present","USD","100","0.972","0.972","Mouser quantity-100 tier","https://www.mouser.com/en/ProductDetail/Davies-Molding/1227-J?qs=AaRlLUpeMszUlt7gcGM9fQ%3D%3D","2026-08-19","","","","","present","SUB-MECH-OPTICAL","encoder_knob"
"base_product","diodes_2n7002dw_7_f","Diodes Incorporated 2N7002DW-7-F","4","active","verified_candidate","present","present","USD","100","0.1277","0.5108","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/2N7002DW-7-F/749948","2026-08-19","","","","","present","SUB-DISCRETE-PROT","pack_hold;pack_status_buffer;safe_reset_sink_a;safe_reset_sink_b"
"base_product","diodes_bat54_7_f","Diodes Incorporated BAT54-7-F","5","active","verified_candidate","present","present","USD","100","0.0698","0.349","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/BAT54-7-F/717699","2026-08-19","","","","","present","SUB-DISCRETE-PROT","cc_evidence_hold_diode;nrf_evidence_hold_diode;pack_system_diode;voice_evidence_hold_diode;voice_v_evidence_hold_diode"
"base_product","diodes_dmn2056u_7","Diodes Incorporated DMN2056U-7","3","active","verified_candidate","present","present","USD","100","0.149","0.447","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/DMN2056U-7/7352909","2026-08-19","","","","","present","SUB-DISCRETE-PROT","backlight_mosfet;ir_tx_mosfet;pack_diag_switch"
"base_product","diodes_mmbt3904_7_f","Diodes Incorporated MMBT3904-7-F","2","active","verified_candidate","present","present","USD","100","0.0597","0.1194","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/diodes-incorporated/MMBT3904-7-F/815727","2026-08-19","","","","","present","SUB-DISCRETE-PROT","ext_pg_qualifier;voice_pg_qualifier"
"base_product","diodes_pam8302a_aycr","Diodes Incorporated PAM8302AAYCR","1","active","verified_candidate","present","present","USD","100","0.351","0.351","Mouser cut-tape quantity-100 tier","https://www.mouser.com/en/ProductDetail/Diodes-Incorporated/PAM8302AAYCR?qs=pYVYkI7xuRX9VhIMiIHWEw%3D%3D","2026-08-23","","","","","present","SUB-LOGIC-ANALOG","speaker_amp"
"base_product","ebyte_e01_ml01ipx","Ebyte E01-ML01IPX","3","nrf24_family_not_recommended_for_new_designs","verified_reference","present","missing","","","","","","","","quantity_100_rfq_required","The manufacturer exposes a 100-999-piece tier but withholds its numeric price behind Send Inquiry, so no comparable published quantity-100 USD value is available","https://www.cdebyte.com/products/E01-ML01IPX","2026-08-22","present","SUB-COMPUTE-RF","nrf0;nrf1;nrf2"
"base_product","epson_q13fc13500005","Seiko Epson Q13FC13500005","1","active_orderable","verified_candidate","present","present","USD","100","0.2154","0.2154","LCSC quantity-50 tier applicable to a 100-piece purchase","https://www.lcsc.com/product-detail/crystals_seiko-epson-q13fc13500005_C841881.html","2026-08-19","","","","","present","SUB-RF","receiver_clock"
"base_product","esp32_c5_wroom_1u_n8r8","ESP32-C5-WROOM-1U-N8R8","1","active_candidate_revision_floor_v1_2","verified_candidate","present","present","USD","100","4.1338","4.1338","JLCPCB C54951858 quantity-100 tier","https://jlcpcb.com/partdetail/C54951858","2026-08-28","","","","","present","SUB-COMPUTE-RF","c5"
"base_product","esp32_s3_wroom_1u_n16r8","ESP32-S3-WROOM-1U-N16R8","1","active_orderable","verified_exact_16mb_flash_8mb_octal_psram_external_antenna","present","present","USD","100","5.108","5.108","DigiKey cut-tape quantity-100 tier","https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N16R8/16162641","2026-08-20","","","","","present","SUB-COMPUTE-RF","s3"
