Manufacturer Part Number,Quantity
Abracon ABM8-26.000MHZ-10-D-1-G-T,1
Abracon ABM8-272-T3,1
Abracon AOTA-B201610S3R3-101-T,1
Analog Devices AD8314ACPZ-RL7,5
LTC5532ES6#TRMPBF,2
Analog Devices MAX17320G20+T,1
Alps Alpine EC11E18244AU,1
Alps Alpine SKRTLAE010,6
Bourns CRM2512-FX-20R0ELF,2
CC1101RGPR,1
C&K JS102011SCQN,1
Davies Molding 1227-J,1
Diodes Incorporated 2N7002DW-7-F,4
Diodes Incorporated BAT54-7-F,4
Diodes Incorporated DMN2056U-7,3
Diodes Incorporated MMBT3904-7-F,2
Diodes Incorporated PAM8302AAYCR,1
Ebyte E01-ML01IPX,3
Seiko Epson Q13FC13500005,1
ESP32-C5-WROOM-1U-N8R8,1
ESP32-S3-WROOM-1U-N16R8,1
Everest Semiconductor ES8311,1
GCT RFPC-SMA31-FN-175-A,7
GCT RFPC-SMA32-FN-175-A,2
GCT USB4105-GF-A,2
Hirose DF40C(2.0)-40DS-0.4V(58),1
Hirose DF40C-40DP-0.4V(51),1
Hirose DM3AT-SF-PEJM5,1
Hirose FH34SRJ-40S-0.5SH(99),1
Hirose FX8C-80P-SV1(92),1
Hirose FX8C-80S-SV5(92),1
Hirose U.FL-R-SMT-1(10),5
Infineon BGS13SN8E6327XTSA1,2
JAE DX07S016JA1R1500,1
KEMET C0402C102K5RACTU,2
KEMET C0402C330J5GACTU,5
Keystone Electronics 1048P,1
KYOCERA AVX CP0603Q5425ENTR,2
LTST-C190KFKT,1
LTST-C190KRKT,9
Littelfuse 0451005.MRL,2
Littelfuse SESD0402X1UN-0020-090,3
M5Stack U214 Cap LoRa-1262,1
Murata BLM18PG181SN1D,4
Murata GJM1555C1H100JB01D,1
Murata GJM1555C1H101JB01D,2
Murata GJM1555C1H150JB01D,4
Murata GJM1555C1H1R2BB01D,1
Murata GJM1555C1H6R2DB01D,1
Murata GJM1555C1H8R0DB01D,1
Murata GJM1555C1HR47BB01D,1
Murata GJM1555C1HR60BB01D,1
Murata GRM1555C1H102JA01D,1
Murata GRM1555C1H121JA01D,7
Murata GRM1555C1H220JA01D,2
Murata GRM1555C1H221JA01D,4
Murata GRM1555C1H390JA01D,2
